stack_name
C / C++
C#
CSS
Elixir / Phoenix
Go
HTML
Java
JavaScript
MATLAB
NoSQL
Perl
PHP
Python
R
React
Rust
Ruby / Ruby On Rails
Swift
SQL
TypeScript
Vue.js
